time_trim_mean,total_fc_bias,time_max,input_image_channels,total_conv_kernelsizes,time_mean,batchsize,input_image_size,total_pool_paddings,total_pool_strides,total_conv_paddings,total_conv_bias,total_conv_filters,total_conv_strides,time_median,time_min,total_fc_units,total_pool_sizes,total_conv_acts,total_fc_acts,net_string
0.857234001159668,0,0.9641647338867188,1,10,0.8636951446533203,1,191,2,8,0,1,65,25,0.849604606628418,0.8149147033691406,0,72,2,0,"[IN(1,191,1), P(1,191,1,6,2,1), P(1,191,1,6,2,1), C(1,191,1,64,1,4,0,1,0), C(1,48,64,1,3,3,0,1,1), OUT(1,16,1)]"
78.43440771102905,0,78.65500450134277,2,40,78.43482494354248,64,317,0,0,1,0,513,18,78.39596271514893,78.21798324584961,0,0,1,0,"[IN(64,317,2), C(64,317,2,512,2,3,1,1,0), C(64,317,512,1,6,3,0,0,0), OUT(64,104,1)]"
474.5512306690216,0,474.916934967041,2,0,474.56676959991455,2,429,0,0,0,0,0,0,474.542498588562,474.34091567993164,4096,0,0,0,"[IN(2,429,2), FC(2,184041,2,4096,0,0), OUT(2,4096,1)]"
16.373664140701294,1,16.50404930114746,1,0,16.374731063842773,8,81,0,4,0,0,0,0,16.37852191925049,16.253948211669922,2048,4,0,1,"[IN(8,81,1), P(8,81,1,2,2,0), FC(8,1600,1,2048,1,1), OUT(8,2048,1)]"
47.125279903411865,0,47.477006912231445,3,0,47.13883399963379,8,479,0,0,0,0,0,0,47.134995460510254,46.90909385681152,64,0,0,1,"[IN(8,479,3), FC(8,229441,3,64,1,0), OUT(8,64,1)]"
86.79932355880737,0,87.19515800476074,2,0,86.79735660552979,64,486,2,33,0,0,0,0,86.72749996185303,86.38381958007812,0,33,0,0,"[IN(64,486,2), P(64,486,2,4,4,0), P(64,121,2,1,4,1), P(64,121,2,4,1,1), OUT(64,121,2)]"
26.49235725402832,0,26.772022247314453,2,73,26.510095596313477,32,364,3,33,2,1,592,26,26.489973068237305,26.39007568359375,0,78,0,0,"[IN(32,364,2), C(32,364,2,16,6,3,1,0,0), P(32,364,16,7,3,0), C(32,120,16,512,6,4,1,0,1), C(32,120,512,64,1,1,0,0,0), P(32,120,64,3,2,1), P(32,120,64,2,4,1), P(32,120,64,4,2,1), OUT(32,120,64)]"
2.2878646850585938,0,2.3529529571533203,3,114,2.290487289428711,2,355,1,17,1,0,131,21,2.280592918395996,2.249002456665039,0,40,1,0,"[IN(2,355,3), P(2,355,3,2,4,1), C(2,355,3,2,7,4,0,0,0), C(2,88,2,128,7,2,1,1,0), C(2,88,128,1,4,1,0,0,0), P(2,85,1,6,1,0), OUT(2,80,1)]"
2.3494362831115723,1,3.6668777465820312,3,0,2.459549903869629,8,207,1,16,0,0,0,0,2.2410154342651367,2.1331310272216797,1,25,0,1,"[IN(8,207,3), P(8,207,3,5,4,1), FC(8,42849,3,1,1,1), OUT(8,1,1)]"
3.788113594055176,0,4.015922546386719,1,4,3.800082206726074,4,402,0,0,1,0,64,9,3.7224292755126953,3.679990768432617,0,0,0,0,"[IN(4,402,1), C(4,402,1,64,2,3,1,0,0), OUT(4,402,64)]"
